st_pin,st_att,sub_1,sub_2,sub_3,sub_4,sub_5,st_per,total_status,mid_avg,sub1_mid,sub2_mid,sub3_mid,sub4_mid,sub5_mid
200,75,88,78,75,90,74,81,pass,72,80,60,67,77,78
201,40,56,65,66,76,70,66.6,pass,60,65,70,55,58,60
202,70,56,77,66,56,57,62.4,pass,70,70,80,65,64,71
203,65,55,67,89,42,54,61.4,pass,58,50,65,50,52,61
204,50,45,32,56,45,67,49,fail,40,50,40,40,44,42
205,70,87,56,85,78,64,74,pass,54,68,60,52,64,58
206,65,87,67,35,67,66,64.4,pass,74,75,65,65,62,55
207,65,67,45,45,67,43,53.4,pass,57,90,40,52,50,57
208,70,56,67,67,45,87,64.4,pass,70,67,70,62,65,58
209,68,87,57,34,35,34,49.4,pass,55,95,82,52,60,57
210,40,45,34,45,56,54,46.8,fail,40,40,35,43,40,45
211,60,78,66,56,34,43,55.4,pass,60,85,65,54,52,50
212,75,78,34,97,88,57,70.8,pass,80,87,30,72,65,74
213,67,87,67,46,65,23,57.6,pass,63,95,70,54,57,56
214,71,78,88,67,46,54,66.6,pass,75,85,79,65,62,58
215,43,68,59,65,75,93,72,fail,40,90,90,42,46,49
216,49,55,56,44,33,43,46.2,fail,50,40,65,40,38,42
217,60,67,34,63,77,65,61.2,pass,60,70,40,53,51,55
218,68,67,66,34,56,78,60.2,pass,61,65,75,63,61,65
219,40,45,78,33,56,32,48.8,fail,38,40,85,43,41,47
220,65,81,65,45,86,54,66.2,pass,55,30,76,55,58,53
221,64,78,56,45,43,46,53.6,pass,55,80,60,52,51,56
222,60,67,45,56,56,34,51.6,pass,51,77,50,50,52,54
223,80,89,45,97,65,64,72,pass,80,90,52,70,68,72
224,74,45,67,45,43,98,59.6,pass,75,40,76,58,60,56
225,60,45,34,75,23,78,51,pass,60,48,40,50,52,54
226,40,23,56,87,24,23,42.6,fail,40,20,65,43,45,41
227,65,67,34,56,67,56,56,pass,60,70,37,56,54,51
228,65,78,23,65,43,43,50.4,pass,55,80,30,50,52,54
229,45,24,65,88,13,23,42.6,fail,39,20,75,42,44,46
230,65,56,33,34,64,67,50.8,pass,55,60,40,52,54,50
231,40,78,23,67,15,43,45.2,fail,40,35,20,44,42,46
232,45,67,12,34,67,54,46.8,fail,40,70,20,44,41,48
233,45,78,5,55,43,34,43,fail,35,80,0,48,46,42
234,76,78,34,88,76,98,74.8,pass,100,80,30,72,70,76
235,65,56,56,34,43,67,51.2,pass,60,60,60,52,54,51
236,67,54,45,67,78,32,55.2,pass,65,50,45,53,51,56
237,68,89,67,34,88,45,64.6,pass,70,90,70,62,58,64
238,68,67,45,54,86,54,61.2,pass,68,70,40,60,59,64
239,64,21,78,65,35,67,53.2,pass,63,30,85,52,55,57
240,70,86,56,78,65,90,75,pass,70,90,65,62,64,60
241,80,67,90,58,78,67,72,pass,80,76,100,72,76,70
242,29,34,58,41,48,47,45.6,pass,33,37,25,40,54,51
243,58,23,32,43,65,87,50,fail,55,30,30,70,50,42
244,40,12,56,34,45,24,34.2,fail,30,10,60,70,32,36
245,42,56,32,45,54,56,48.6,fail,45,60,20,70,48,41
246,60,65,34,56,34,78,53.4,pass,55,67,40,70,52,54
247,65,67,56,56,45,67,58.2,pass,60,75,65,70,54,52
248,45,56,34,23,56,45,42.8,fail,40,56,20,70,41,45
249,65,67,67,56,23,64,55.4,pass,60,70,60,70,56,51
250,40,55,69,70,65,78,50,pass,65,56,45,70,78,79
251,75,88,78,75,90,74,81,pass,72,80,60,67,77,78
252,40,56,65,66,76,70,66.6,pass,60,65,70,55,58,60
253,70,56,77,66,56,57,62.4,pass,70,70,80,65,64,71
254,65,55,67,89,42,54,61.4,pass,58,50,65,50,52,61
255,50,45,32,56,45,67,49,fail,40,50,40,40,44,42
256,70,87,56,85,78,64,74,pass,54,68,60,52,64,58
257,65,87,67,35,67,66,64.4,pass,74,75,65,65,62,55
258,65,67,45,45,67,43,53.4,pass,57,90,40,52,50,57
259,70,56,67,67,45,87,64.4,pass,70,67,70,62,65,58
260,68,87,57,34,35,34,49.4,pass,55,95,82,52,60,57
261,40,45,34,45,56,54,46.8,fail,40,40,35,43,40,45
262,60,78,66,56,34,43,55.4,pass,60,85,65,54,52,50
263,75,78,34,97,88,57,70.8,pass,80,87,30,72,65,74
264,67,87,67,46,65,23,57.6,pass,63,95,70,54,57,56
265,71,78,88,67,46,54,66.6,pass,75,85,79,65,62,58
266,43,68,59,65,75,93,72,fail,40,90,90,42,46,49
267,49,55,56,44,33,43,46.2,fail,50,40,65,40,38,42
268,60,67,34,63,77,65,61.2,pass,60,70,40,53,51,55
269,68,67,66,34,56,78,60.2,pass,61,65,75,63,61,65
270,40,45,78,33,56,32,48.8,fail,38,40,85,43,41,47
271,65,81,65,45,86,54,66.2,pass,55,30,76,55,58,53
272,64,78,56,45,43,46,53.6,pass,55,80,60,52,51,56
273,76,78,34,88,76,98,74.8,pass,100,80,30,72,70,76
274,65,56,56,34,43,67,51.2,pass,60,60,60,52,54,51
275,67,54,45,67,78,32,55.2,pass,65,50,45,53,51,56
276,68,89,67,34,88,45,64.6,pass,70,90,70,62,58,64
277,68,67,45,54,86,54,61.2,pass,68,70,40,60,59,64
278,64,21,78,65,35,67,53.2,pass,63,30,85,52,55,57
279,70,86,56,78,65,90,75,pass,70,90,65,62,64,60
280,80,67,90,58,78,67,72,pass,80,76,100,72,76,70
281,29,34,58,41,48,47,45.6,pass,33,37,25,40,54,51
282,58,23,32,43,65,87,50,fail,55,30,30,70,50,42
283,40,12,56,34,45,24,34.2,fail,30,10,60,70,32,36
284,42,56,32,45,54,56,48.6,fail,45,60,20,70,48,41
285,60,65,34,56,34,78,53.4,pass,55,67,40,70,52,54
286,65,67,56,56,45,67,58.2,pass,60,75,65,70,54,52
287,45,56,34,23,56,45,42.8,fail,40,56,20,70,41,45
288,65,67,67,56,23,64,55.4,pass,60,70,60,70,56,51
289,40,55,69,70,65,78,50,pass,65,56,45,70,78,79
290,75,88,78,75,90,74,81,pass,72,80,60,67,77,78
291,40,56,65,66,76,70,66.6,pass,60,65,70,55,58,60
292,70,56,77,66,56,57,62.4,pass,70,70,80,65,64,71
293,65,55,67,89,42,54,61.4,pass,58,50,65,50,52,61
294,50,45,32,56,45,67,49,fail,40,50,40,40,44,42
295,70,87,56,85,78,64,74,pass,54,68,60,52,64,58
296,65,87,67,35,67,66,64.4,pass,74,75,65,65,62,55
297,65,67,45,45,67,43,53.4,pass,57,90,40,52,50,57
298,70,56,67,67,45,87,64.4,pass,70,67,70,62,65,58
299,68,87,57,34,35,34,49.4,pass,55,95,82,52,60,57
300,40,45,34,45,56,54,46.8,fail,40,40,35,43,40,45
301,60,78,66,56,34,43,55.4,pass,60,85,65,54,52,50
302,75,78,34,97,88,57,70.8,pass,80,87,30,72,65,74
303,67,87,67,46,65,23,57.6,pass,63,95,70,54,57,56
304,71,78,88,67,46,54,66.6,pass,75,85,79,65,62,58
305,43,68,59,65,75,93,72,fail,40,90,90,42,46,49
306,49,55,56,44,33,43,46.2,fail,50,40,65,40,38,42
307,60,67,34,63,77,65,61.2,pass,60,70,40,53,51,55
308,40,45,34,45,56,54,46.8,fail,40,40,35,43,40,45
309,60,78,66,56,34,43,55.4,pass,60,85,65,54,52,50
310,75,78,34,97,88,57,70.8,pass,80,87,30,72,65,74
311,67,87,67,46,65,23,57.6,pass,63,95,70,54,57,56
312,71,78,88,67,46,54,66.6,pass,75,85,79,65,62,58
313,43,68,59,65,75,93,72,fail,40,90,90,42,46,49
314,49,55,56,44,33,43,46.2,fail,50,40,65,40,38,42
315,60,67,34,63,77,65,61.2,pass,60,70,40,53,51,55
316,68,67,66,34,56,78,60.2,pass,61,65,75,63,61,65
317,40,45,78,33,56,32,48.8,fail,38,40,85,43,41,47
318,65,81,65,45,86,54,66.2,pass,55,30,76,55,58,53
319,64,78,56,45,43,46,53.6,pass,55,80,60,52,51,56
320,76,78,34,88,76,98,74.8,pass,100,80,30,72,70,76
321,65,56,56,34,43,67,51.2,pass,60,60,60,52,54,51
322,67,54,45,67,78,32,55.2,pass,65,50,45,53,51,56
